code,complexity
"def get_first_element(arr):
    return arr[0] ",O(1)
"def sum_two(a, b):
    return a + b ",O(1)
"def sum_array(arr):
    total = 0
    for num in arr:
        total += num
    return total ",O(n)
"def find_max(arr):
    maximum = arr[0]
    for num in arr:
        if num > maximum:
            maximum = num
    return maximum ",O(n)
"def linear_search(arr, target):
    for i, num in enumerate(arr):
        if num == target:
            return i
    return -1 ",O(n)
"def length(arr):
    count = 0
    for _ in arr:
        count += 1
    return count ",O(n)
"def print_elements(arr):
    for item in arr:
        print(item) ",O(n)
"def print_pairs(arr):
    for i in arr:
        for j in arr:
            print(i, j) ",O(n^2)
"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return arr ",O(n^2)
"def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i-1
        while j >= 0 and key < arr[j]:
            arr[j+1] = arr[j]
            j -= 1
        arr[j+1] = key
    return arr ",O(n^2)
"def selection_sort(arr):
    n = len(arr)
    for i in range(n):
        min_idx = i
        for j in range(i+1, n):
            if arr[j] < arr[min_idx]:
                min_idx = j
        arr[i], arr[min_idx] = arr[min_idx], arr[i]
    return arr ",O(n^2)
"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr ",O(nlogn)
"def quicksort(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return quicksort(left) + middle + quicksort(right) ",O(nlogn)
"def exponential_recursion(n):
    if n <= 0:
        return 1
    return exponential_recursion(n-1) + exponential_recursion(n-1) ",O(2^n)
"def triple_loop(arr):
    n = len(arr)
    count = 0
    for i in range(n):
        for j in range(n):
            for k in range(n):
                count += 1
    return count ",O(n^3)
"def permute(arr):
    if len(arr) == 0:
        return [[]]
    result = []
    for i in range(len(arr)):
        for p in permute(arr[:i] + arr[i+1:]):
            result.append([arr[i]] + p)
    return result ",O(n!)
"def lookup(dict_obj, key):
    return dict_obj.get(key) ",O(1)
"def reverse_array(arr):
    return arr[::-1] ",O(1)
"def transpose(matrix):
    n = len(matrix)
    result = [[0]*n for _ in range(n)]
    for i in range(n):
        for j in range(n):
            result[j][i] = matrix[i][j]
    return result ",O(n^2)
"def matrix_multiply(A, B):
    n = len(A)
    result = [[0]*n for _ in range(n)]
    for i in range(n):
        for j in range(n):
            for k in range(n):
                result[i][j] += A[i][k] * B[k][j]
    return result ",O(n^3)
"def binary_search(arr, target):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1 ",O(logn)
"def halving_loop(n):
    while n > 1:
        n //= 2
    return n ",O(logn)
"def doubling_index(n):
    i = 1
    while i < n:
        i *= 2
    return i ",O(logn)
"def nested_loops_different_ranges(n, m):
    for i in range(n):
        for j in range(m):
            print(i, j) ",O(n*m)
"def add_arrays(arr1, arr2):
    result = []
    for a, b in zip(arr1, arr2):
        result.append(a+b)
    return result ",O(n)
"def dot_product(arr1, arr2):
    total = 0
    for a, b in zip(arr1, arr2):
        total += a * b
    return total ",O(n)
"def merge_sorted(arr1, arr2):
    result = []
    i = j = 0
    while i < len(arr1) and j < len(arr2):
        if arr1[i] < arr2[j]:
            result.append(arr1[i])
            i += 1
        else:
            result.append(arr2[j])
            j += 1
    result.extend(arr1[i:])
    result.extend(arr2[j:])
    return result ",O(n)
"def heap_sort(arr):
    import heapq
    heapq.heapify(arr)
    return [heapq.heappop(arr) for _ in range(len(arr))] ",O(nlogn)
"def dfs(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    for neighbor in graph[start]:
        if neighbor not in visited:
            dfs(graph, neighbor, visited)
    return visited ",O(n)
"def bfs(graph, start):
    visited = set()
    queue = [start]
    while queue:
        vertex = queue.pop(0)
        if vertex not in visited:
            visited.add(vertex)
            queue.extend(set(graph[vertex]) - visited)
    return visited ",O(n)
"def floyd_warshall(matrix):
    n = len(matrix)
    for k in range(n):
        for i in range(n):
            for j in range(n):
                matrix[i][j] = min(matrix[i][j], matrix[i][k] + matrix[k][j])
    return matrix ",O(n^3)
"def recursive_binary_search(arr, target, low=0, high=None):
    if high is None:
        high = len(arr) - 1
    if low > high:
        return -1
    mid = (low + high) // 2
    if arr[mid] == target:
        return mid
    elif arr[mid] < target:
        return recursive_binary_search(arr, target, mid+1, high)
    else:
        return recursive_binary_search(arr, target, low, mid-1) ",O(logn)
"def iterative_binary_search(arr, target):
    low, high = 0, len(arr)-1
    while low <= high:
        mid = (low+high)//2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid+1
        else:
            high = mid-1
    return -1 ",O(logn)
"def n_queens(n):
    solutions = []
    def solve(queens, xy_diff, xy_sum):
        p = len(queens)
        if p == n:
            solutions.append(queens)
            return
        for q in range(n):
            if q not in queens and p-q not in xy_diff and p+q not in xy_sum:
                solve(queens+[q], xy_diff+[p-q], xy_sum+[p+q])
    solve([], [], [])
    return solutions ",O(n!)
"def tower_of_hanoi(n, source, target, auxiliary):
    if n == 1:
        return
    tower_of_hanoi(n-1, source, auxiliary, target)
    tower_of_hanoi(n-1, auxiliary, target, source) ",O(2^n)
"def quicksort_worst(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[0]
    left = [x for x in arr[1:] if x < pivot]
    right = [x for x in arr[1:] if x >= pivot]
    return quicksort_worst(left) + [pivot] + quicksort_worst(right) ",O(n^2)
"def merge_sort_worst(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    left = merge_sort_worst(arr[:mid])
    right = merge_sort_worst(arr[mid:])
    i = j = k = 0
    merged = []
    while i < len(left) and j < len(right):
        if left[i] < right[j]:
            merged.append(left[i])
            i += 1
        else:
            merged.append(right[j])
            j += 1
    merged.extend(left[i:])
    merged.extend(right[j:])
    return merged ",O(nlogn)
"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a ",O(logn)
"def extended_gcd(a, b):
    if b == 0:
        return a, 1, 0
    gcd, x1, y1 = extended_gcd(b, a % b)
    x = y1
    y = x1 - (a // b) * y1
    return gcd, x, y ",O(logn)
"def recursive_determinant(matrix):
    # This is a recursive implementation for determinant (inefficient for large matrices)
    n = len(matrix)
    if n == 1:
        return matrix[0][0]
    det = 0
    for c in range(n):
        minor = [row[:c] + row[c+1:] for row in matrix[1:]]
        det += ((-1)**c) * matrix[0][c] * recursive_determinant(minor)
    return det ",O(n!)
"def floyd_cycle_detection(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow == fast:
            return True
    return False ",O(n)
"def lcs(X, Y):
    m, n = len(X), len(Y)
    L = [[0]*(n+1) for _ in range(m+1)]
    for i in range(m+1):
        for j in range(n+1):
            if i == 0 or j == 0:
                L[i][j] = 0
            elif X[i-1] == Y[j-1]:
                L[i][j] = L[i-1][j-1] + 1
            else:
                L[i][j] = max(L[i-1][j], L[i][j-1])
    return L[m][n] ",O(n^2)
"def edit_distance(X, Y):
    m, n = len(X), len(Y)
    dp = [[0]*(n+1) for _ in range(m+1)]
    for i in range(m+1):
        for j in range(n+1):
            if i == 0:
                dp[i][j] = j
            elif j == 0:
                dp[i][j] = i
            elif X[i-1] == Y[j-1]:
                dp[i][j] = dp[i-1][j-1]
            else:
                dp[i][j] = 1 + min(dp[i-1][j], dp[i][j-1], dp[i-1][j-1])
    return dp[m][n] ",O(n^2)
"def subset_sum(arr, target, index=0):
    if target == 0:
        return True
    if index >= len(arr) or target < 0:
        return False
    return subset_sum(arr, target - arr[index], index+1) or subset_sum(arr, target, index+1) ",O(2^n)
